event_id,issuer,ticker,event_category,sector,event_timestamp_et,release_session,primary_source_reference,timestamp_source_reference,event_fact_summary,materiality_reason,entry_rule,entry_timestamp_et,timestamp_verification_status,accepted_primary_sample,exclusion_reason,outcome_fields_present
E3-NUE-20220112,Nucor Corporation,NUE,E3_Major_Contract_Order_Capacity,Materials,2022-01-12 13:55:00 EST,REGULAR_SESSION,https://investors.nucor.com/news/news-details/2022/Nucor-Selects-West-Virginia-as-Location-for-New-State-Of-The-Art-Sheet-Mill-01-12-2022/default.aspx,https://www.prnewswire.com/news-releases/nucor-selects-west-virginia-as-location-for-new-state-of-the-art-sheet-mill-301459756.html,"Nucor selected West Virginia for a new approximately $2.7 billion sheet mill with planned annual capacity of three million tons.","A large greenfield capacity commitment changed future sheet-steel capacity, geographic reach and capital-allocation requirements.",REGULAR_EVENT_PLUS_30_MINUTES,2022-01-12 14:25:00 EST,VERIFIED_PRIMARY_PLUS_PRNEWSWIRE_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
E3-STLD-20220719,Steel Dynamics,STLD,E3_Major_Contract_Order_Capacity,Materials,2022-07-19 07:00:00 EDT,PREMARKET,https://ir.steeldynamics.com/steel-dynamics-announces-investment-in-new-state-of-the-art-low-carbon-aluminum-flat-rolled-mill-aligned-with-its-core-steelmaking-and-recycling-platforms/,https://www.prnewswire.com/news-releases/steel-dynamics-announces-investment-in-new-state-of-the-art-low-carbon-aluminum-flat-rolled-mill-aligned-with-its-core-steelmaking-and-recycling-platforms-301588791.html,"Steel Dynamics authorized an estimated $2.2 billion recycled-aluminum flat rolled mill and two slab centers totaling 650,000 tonnes of rolling capacity.","The project represented entry into an adjacent aluminum market with large new capacity and stated through-cycle EBITDA implications.",PREMARKET_1000_ET,2022-07-19 10:00:00 EDT,VERIFIED_PRIMARY_PLUS_PRNEWSWIRE_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
E3-CEG-20250603,Constellation Energy,CEG,E3_Major_Contract_Order_Capacity,Utilities,2025-06-03 07:00:00 EDT,PREMARKET,https://investors.constellationenergy.com/news-releases/news-release-details/constellation-meta-sign-20-year-deal-clean-reliable-nuclear,https://investors.constellationenergy.com/news-releases/news-release-details/constellation-meta-sign-20-year-deal-clean-reliable-nuclear,"Constellation and Meta signed a 20-year PPA for the 1,121 MW Clinton Clean Energy Center and planned 30 MW of uprates.","A long-duration hyperscaler power contract materially extended asset economics and supported continued operation and capacity expansion.",PREMARKET_1000_ET,2025-06-03 10:00:00 EDT,VERIFIED_PRIMARY_WITH_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
E3-MU-20240425,Micron Technology,MU,E3_Major_Contract_Order_Capacity,Information Technology,2024-04-25 05:10:00 EDT,PREMARKET,https://investors.micron.com/node/47106/pdf,https://investors.micron.com/node/47106/pdf,"Micron announced a preliminary agreement for $6.1 billion of CHIPS Act grants supporting planned leading-edge memory manufacturing in Idaho and New York and approximately $50 billion of gross U.S. capex through 2030.","Government funding materially affected the financing and feasibility of a multi-fab domestic memory-capacity expansion.",PREMARKET_1000_ET,2024-04-25 10:00:00 EDT,VERIFIED_PRIMARY_WITH_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
E3-DLR-20231207,Digital Realty,DLR,E3_Major_Contract_Order_Capacity,Real Estate,2023-12-07 16:35:00 EST,AFTER_HOURS,https://www.digitalrealty.com/about/newsroom/press-releases/123237/digital-realty-and-blackstone-announce-7-billion-hyperscale-data-center-development-joint-venture,https://www.nasdaq.com/press-release/digital-realty-and-blackstone-announce-%247-billion-hyperscale-data-center-development,"Digital Realty and Blackstone announced a joint venture to develop four hyperscale campuses with approximately $7 billion of estimated development cost and about 500 MW of potential IT load.","The partnership changed the funding structure and prospective capacity pipeline for a capital-intensive data-center REIT.",AFTER_HOURS_NEXT_TRADING_DAY_1000_ET,2023-12-08 10:00:00 EST,VERIFIED_PRIMARY_PLUS_PRNEWSWIRE_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
E3-EQIX-20241001,Equinix,EQIX,E3_Major_Contract_Order_Capacity,Real Estate,2024-10-01 08:00:00 EDT,PREMARKET,https://investor.equinix.com/news-events/press-releases/detail/1053/equinix-agrees-to-form-greater-than-15b-jv-to-expand,https://www.prnewswire.com/news-releases/equinix-agrees-to-form-greater-than-15b-jv-to-expand-hyperscale-data-centers-in-the-us-and-support-growing-ai-and-cloud-innovation-302263523.html,"Equinix agreed to form a greater-than-$15 billion JV with GIC and CPP Investments intended to add more than 1.5 GW of U.S. xScale hyperscale capacity.","The JV materially expanded access to external capital and prospective AI/cloud data-center capacity.",PREMARKET_1000_ET,2024-10-01 10:00:00 EDT,VERIFIED_PRIMARY_PLUS_PRNEWSWIRE_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
E3-GM-20220125,General Motors,GM,E3_Major_Contract_Order_Capacity,Consumer Discretionary,2022-01-25 11:00:00 EST,REGULAR_SESSION,https://www.prnewswire.com/news-releases/gm-accelerates-its-drive-to-lead-the-ev-industry-with-7-billion-investment-in-michigan-creating-4-000-new-jobs-and-retaining-1-000--301467770.html,https://www.prnewswire.com/news-releases/gm-accelerates-its-drive-to-lead-the-ev-industry-with-7-billion-investment-in-michigan-creating-4-000-new-jobs-and-retaining-1-000--301467770.html,"GM announced more than $7 billion of Michigan manufacturing investment covering EV assembly and battery-cell capacity, the largest single investment announcement in company history at that time.","The commitment materially changed planned North American EV and battery production capacity and capital deployment.",REGULAR_EVENT_PLUS_30_MINUTES,2022-01-25 11:30:00 EST,VERIFIED_COMPANY_PRNEWSWIRE_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
E2-AAP-20230531,Advance Auto Parts,AAP,E2_Earnings_Guidance_Reset,Consumer Discretionary,2023-05-31 06:30:00 EDT,PREMARKET,https://ir.advanceautoparts.com/investors/news-and-events/press-releases/press-release-details/2023/Advance-Auto-Parts-Reports-First-Quarter-2023-Results/default.aspx,https://markets.financialcontent.com/talkmarkets/article/bizwire-2023-5-31-advance-auto-parts-reports-first-quarter-2023-results,"Advance Auto Parts reported Q1 results below expectations, materially reduced full-year sales, margin and EPS guidance, and cut its quarterly dividend.","The release simultaneously reset operating profitability, forward earnings and capital-return expectations.",PREMARKET_1000_ET,2023-05-31 10:00:00 EDT,VERIFIED_PRIMARY_PLUS_BUSINESSWIRE_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
E2-LOW-20230523,Lowe's Companies,LOW,E2_Earnings_Guidance_Reset,Consumer Discretionary,2023-05-23 06:00:00 EDT,PREMARKET,https://www.prnewswire.com/news-releases/lowes-reports-first-quarter-2023-sales-and-earnings-results-301831544.html,https://www.prnewswire.com/news-releases/lowes-reports-first-quarter-2023-sales-and-earnings-results-301831544.html,"Lowe's reported weaker discretionary demand and reduced full-year sales, comparable-sales, margin and EPS guidance.","A broad forward-demand and profitability reset changed the expected earnings path for a large home-improvement retailer.",PREMARKET_1000_ET,2023-05-23 10:00:00 EDT,VERIFIED_COMPANY_PRNEWSWIRE_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
E2-ULTA-20240530,Ulta Beauty,ULTA,E2_Earnings_Guidance_Reset,Consumer Discretionary,2024-05-30 16:05:00 EDT,AFTER_HOURS,https://www.sec.gov/Archives/edgar/data/1403568/0001558370-24-008776-index.html,https://markets.financialcontent.com/worldnow.wgem/article/bizwire-2024-5-30-ulta-beauty-announces-first-quarter-fiscal-2024-results,"Ulta reported Q1 fiscal 2024 results and lowered full-year sales, comparable-sales, operating-margin and EPS guidance.","The release reset demand and margin expectations in a previously high-growth specialty retail category.",AFTER_HOURS_NEXT_TRADING_DAY_1000_ET,2024-05-31 10:00:00 EDT,VERIFIED_SEC_PLUS_BUSINESSWIRE_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
